device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip,ua_browser,ua_browser_version,ua_os,ua_os_version,ua_is_mobile,ua_is_pc,country,city,region,timezone,org,is_compromised_device_id,is_compromised_identity,fraud_label,shares_compromised_ip,shares_compromised_fingerprint,predicted_fraud_label,predicted_fraud_probability
00993a56-f44b-448d-9d33-78c16f0be636,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['185.97.201.89'],185.97.201.89,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS39087 P.A.K.T LLC,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,unknown,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.86', '154.160.9.113', '64.52.83.10']",64.52.83.86,Mobile Safari,12.1.2,iOS,12.4.1,True,False,United States,San Jose,California,America/Los_Angeles,AS12182 Unitas Global,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,unknown,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.86', '154.160.9.113', '64.52.83.10']",154.160.9.113,Mobile Safari,12.1.2,iOS,12.4.1,True,False,Ghana,Ashaiman,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,unknown,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.86', '154.160.9.113', '64.52.83.10']",64.52.83.10,Mobile Safari,12.1.2,iOS,12.4.1,True,False,United States,San Jose,California,America/Los_Angeles,AS12182 Unitas Global,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,['154.160.10.201'],154.160.10.201,Mobile Safari,12.1.2,iOS,12.4.1,True,False,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.148', '64.52.83.232', '154.160.9.113']",64.52.83.148,Mobile Safari,12.1.2,iOS,12.4.1,True,False,United States,San Jose,California,America/Los_Angeles,AS12182 Unitas Global,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.148', '64.52.83.232', '154.160.9.113']",64.52.83.232,Mobile Safari,12.1.2,iOS,12.4.1,True,False,United States,San Jose,California,America/Los_Angeles,AS12182 Unitas Global,0,0,0,0,0,0,0.0
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,"['64.52.83.148', '64.52.83.232', '154.160.9.113']",154.160.9.113,Mobile Safari,12.1.2,iOS,12.4.1,True,False,Ghana,Ashaiman,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
07e5a1d3-572d-4d5c-b7df-f903c9533fa7,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['217.66.159.132'],217.66.159.132,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS8359 MTS PJSC,0,0,0,0,0,0,0.0
0a6a1d8c-0be2-4861-922d-ac15d4ac23c2,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['185.97.201.65'],185.97.201.65,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS39087 P.A.K.T LLC,0,0,0,0,0,0,0.0
0b41fbf2-5a5d-43ac-8a67-91def411f9c6,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['185.97.201.65'],185.97.201.65,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS39087 P.A.K.T LLC,0,0,0,0,0,0,0.0
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,['31.173.80.42'],31.173.80.42,Mobile Safari,13.0.4,iOS,13.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS25159 PJSC MegaFon,0,0,0,0,0,0,0.0
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,['185.155.18.163'],185.155.18.163,Mobile Safari,13.0.4,iOS,13.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS41275 Lovitel LLC,0,0,0,0,0,0,0.0
0f432be7-7bf0-4d06-ad3a-1111cf6c8efb,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['217.66.152.216'],217.66.152.216,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS8359 MTS PJSC,0,0,0,0,0,0,0.0
0fd9e0bc-00c9-498f-b3a1-71e9b7dc2e06,unknown,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,['185.155.18.189'],185.155.18.189,Mobile Safari,13.0.4,iOS,13.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS41275 Lovitel LLC,0,0,0,0,0,0,0.0
0fd9e0bc-00c9-498f-b3a1-71e9b7dc2e06,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,['185.155.18.189'],185.155.18.189,Mobile Safari,13.0.4,iOS,13.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS41275 Lovitel LLC,0,0,0,0,0,0,0.0
10c29a82-aafa-4044-8acc-aa56d5bc165f,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['217.66.152.216'],217.66.152.216,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS8359 MTS PJSC,0,0,0,0,0,0,0.0
12c62c90-0461-4d60-ac14-8d3787909c1d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['185.97.201.170'],185.97.201.170,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS39087 P.A.K.T LLC,0,0,0,0,0,0,0.0
12f9ed82-14c5-4a6e-a1ed-372b5331fc0e,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['217.66.152.216'],217.66.152.216,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS8359 MTS PJSC,0,0,0,0,0,0,0.0
1378bf49-a739-44f0-9998-1fbf83810575,67853893,Bank1,6413e837d3-987e3415d7-d623bd6f2d-27c94f86d9,Apple GPU,"(812, 375, 32)",iOS 13.1.3,Mobile Safari 13.0.1,['185.6.247.97'],185.6.247.97,Mobile Safari,13.0.1,iOS,13.1.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS60863 LLC VK,0,0,0,0,0,0,0.0
1378bf49-a739-44f0-9998-1fbf83810575,67853893,Bank1,6413e837d3-987e3415d7-d623bd6f2d-27c94f86d9,Apple GPU,"(812, 375, 32)",iOS 13.1.3,Mobile Safari 13.0.1,['31.173.30.169'],31.173.30.169,Mobile Safari,13.0.1,iOS,13.1.3,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS25159 PJSC MegaFon,0,0,0,0,0,0,0.0
152c077c-1c38-4ae3-84f5-4c0129479228,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,['185.97.201.65'],185.97.201.65,Chrome,78.0.3904,Mac OS X,10.15.1,False,True,Russia,Saint Petersburg,St.-Petersburg,Europe/Moscow,AS39087 P.A.K.T LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.31', '45.56.172.32', '154.160.21.194']",45.56.172.31,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.31', '45.56.172.32', '154.160.21.194']",45.56.172.32,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.31', '45.56.172.32', '154.160.21.194']",154.160.21.194,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['197.210.70.155'],197.210.70.155,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,['197.210.84.152'],197.210.84.152,Opera,66.0.3515,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['45.56.171.14'],45.56.171.14,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,New York City,New York,America/New_York,AS3257 GTT Communications Inc.,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['104.192.227.182', '105.112.11.246']",104.192.227.182,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Chicago,Illinois,America/Chicago,AS63018 Dedicated.com,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['104.192.227.182', '105.112.11.246']",105.112.11.246,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS36873 Airtel Networks Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['104.238.38.34'],104.238.38.34,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['45.56.172.110'],45.56.172.110,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['197.210.227.189', '197.210.227.134', '197.210.226.176']",197.210.227.189,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['197.210.227.189', '197.210.227.134', '197.210.226.176']",197.210.227.134,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['197.210.227.189', '197.210.227.134', '197.210.226.176']",197.210.226.176,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.147', '216.151.180.167', '154.160.22.209', '216.151.180.94']",45.56.172.147,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.147', '216.151.180.167', '154.160.22.209', '216.151.180.94']",216.151.180.167,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,New York City,New York,America/New_York,"AS62651 Strong Technology, LLC.",0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.147', '216.151.180.167', '154.160.22.209', '216.151.180.94']",154.160.22.209,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.147', '216.151.180.167', '154.160.22.209', '216.151.180.94']",216.151.180.94,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,New York City,New York,America/New_York,"AS62651 Strong Technology, LLC.",0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['197.210.45.192', '104.238.38.90']",197.210.45.192,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['197.210.45.192', '104.238.38.90']",104.238.38.90,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['45.56.172.109'],45.56.172.109,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,['209.234.253.186'],209.234.253.186,Opera,66.0.3515,Mac OS X,10.14.6,False,True,Canada,Vancouver,British Columbia,America/Vancouver,AS55286 B2 Net Solutions Inc.,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['45.56.172.32'],45.56.172.32,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,['173.213.86.30'],173.213.86.30,Opera,66.0.3515,Mac OS X,10.14.6,False,True,United States,Elk Grove Village,Illinois,America/Chicago,AS62904 Eonix Corporation,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",45.56.172.146,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",154.160.26.149,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",154.160.24.240,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",154.160.17.105,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",45.56.172.147,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Dallas,Texas,America/Chicago,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['45.56.172.146', '154.160.26.149', '154.160.24.240', '154.160.17.105', '45.56.172.147', '154.160.26.123']",154.160.26.123,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Ghana,Accra,Greater Accra,Africa/Accra,AS30986 Scancom Limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['197.210.44.108'],197.210.44.108,Opera,65.0.3467,Mac OS X,10.14.6,False,True,Nigeria,Lagos,Lagos,Africa/Lagos,AS29465 MTN NIGERIA Communication limited,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,['45.56.172.212'],45.56.172.212,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Denver,Colorado,America/Denver,AS62874 Web2Objects LLC,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['209.197.30.176', '209.197.30.174', '209.197.30.175', '209.197.30.177', '197.210.70.155', '197.210.44.251']",209.197.30.176,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Seattle,Washington,America/Los_Angeles,unknown,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['209.197.30.176', '209.197.30.174', '209.197.30.175', '209.197.30.177', '197.210.70.155', '197.210.44.251']",209.197.30.174,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,New York City,New York,America/New_York,unknown,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['209.197.30.176', '209.197.30.174', '209.197.30.175', '209.197.30.177', '197.210.70.155', '197.210.44.251']",209.197.30.175,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,New York City,New York,America/New_York,unknown,0,0,0,0,0,0,0.0
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,"['209.197.30.176', '209.197.30.174', '209.197.30.175', '209.197.30.177', '197.210.70.155', '197.210.44.251']",209.197.30.177,Opera,65.0.3467,Mac OS X,10.14.6,False,True,United States,Seattle,Washington,America/Los_Angeles,unknown,0,0,0,0,0,0,0.0
