device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip,ua_browser,ua_browser_version,ua_os,ua_os_version,ua_is_mobile,ua_is_pc,country,city,region,timezone,org,is_compromised_device_id,is_compromised_identity,fraud_label,shares_compromised_ip,shares_compromised_fingerprint,predicted_fraud_label,predicted_fraud_probability
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.160.228'],213.87.160.228,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
5d2c2da3-0d53-4444-a625-2480606e2c29,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.138.255'],213.87.138.255,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.159.202'],213.87.159.202,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.160.239', '213.87.160.219', '213.87.128.156']",213.87.128.156,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.160.239', '213.87.160.219', '213.87.128.156']",213.87.160.219,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.160.239', '213.87.160.219', '213.87.128.156']",213.87.160.239,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.163.242'],213.87.163.242,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.137.181'],213.87.137.181,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.158.235'],213.87.158.235,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.133.71', '213.87.138.129']",213.87.138.129,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.155.220'],213.87.155.220,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.148.240', '188.170.72.184']",213.87.148.240,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.154.7'],213.87.154.7,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,"['213.87.133.71', '213.87.138.129']",213.87.133.71,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 78.0.3904,['213.87.160.237'],213.87.160.237,Chrome Mobile WebView,78.0.3904,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,1.0
