device_id,device_fingerprint,bank,ips,country,city,region
02591b70-e8f5-4299-901c-e78b2b79b526,['6413e837d3-987e3415d7-902dcc5844-27c94f86d9'],['Bank2'],"['154.160.9.113', '154.160.10.201', '64.52.83.10', '64.52.83.232', '64.52.83.148', '64.52.83.86']","['Ghana', 'United States']","['San Jose', 'Ashaiman', 'Accra']","['Greater Accra', 'California']"
1535ac5c-8f64-4dd6-a150-80b576b1df54,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank2'],"['45.56.172.210', '197.210.53.250', '173.213.86.73', '104.238.38.155', '45.56.172.145', '173.213.86.63', '197.210.226.98', '45.56.172.175', '197.210.53.94', '45.56.172.103', '216.151.180.182', '209.234.253.186', '154.160.11.96', '45.56.171.22', '197.210.52.170', '197.210.227.96', '45.56.172.235', '45.56.172.55', '104.238.38.34', '209.234.253.198', '64.145.94.87', '64.145.94.70', '104.238.38.168', '197.210.53.145', '154.160.21.194', '197.210.227.63', '197.210.84.152', '45.56.171.14', '154.160.26.123', '209.234.253.134', '209.197.30.175', '197.210.85.70', '105.112.11.246', '45.56.172.109', '197.210.45.192', '173.213.86.58', '209.234.253.182', '45.56.172.31', '104.238.38.33', '197.210.227.245', '154.160.26.149', '197.210.226.176', '154.160.22.209', '197.210.85.140', '216.151.180.94', '197.210.29.78', '197.210.53.226', '197.210.44.251', '45.56.172.147', '216.151.180.167', '45.56.172.212', '197.210.44.108', '45.56.172.32', '104.238.38.35', '209.197.30.177', '173.213.86.64', '45.56.172.57', '209.234.253.179', '197.210.65.235', '197.210.53.56', '173.213.86.34', '209.197.30.174', '64.145.94.183', '173.213.86.32', '197.210.70.155', '209.197.30.176', '105.112.37.60', '104.238.38.40', '64.145.94.211', '45.56.172.146', '209.234.253.126', '104.192.227.182', '197.210.227.134', '104.238.38.90', '45.56.172.110', '154.160.0.195', '154.160.17.105', '197.210.45.33', '209.234.253.127', '197.210.227.189', '173.213.86.30', '154.160.24.240', '197.210.52.76', '197.210.227.214', '209.234.253.174', '105.112.75.164', '197.210.226.82']","['Nigeria', 'Canada', 'Ghana', 'United States']","['Dallas', 'Accra', 'Lagos', 'Vancouver', 'Denver', 'Los Angeles', 'Chicago', 'Seattle', 'Elk Grove Village', 'Abuja', 'New York City']","['Greater Accra', 'Texas', 'Lagos', 'California', 'FCT', 'Illinois', 'New York', 'Colorado', 'British Columbia', 'Washington']"
16d80166-543b-421f-9d6d-1a38ca25fa8c,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank6'],"['178.65.132.194', '217.165.114.120']","['United Arab Emirates', 'Russia']","['Dubai', 'Saint Petersburg']","['Dubai', 'St.-Petersburg']"
2f756abe-6fff-46ae-8f1a-5f9da02f4274,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank10'],"['78.108.139.49', '213.87.162.82', '85.114.27.150', '213.87.152.20', '217.165.23.230', '5.18.248.133', '5.18.235.235', '217.165.22.163', '213.87.133.182', '217.165.115.226', '217.66.158.227']","['United Arab Emirates', 'Russia', 'Netherlands']","['Dubai', 'Moscow', 'Amsterdam', 'Saint Petersburg']","['Dubai', 'St.-Petersburg', 'Moscow', 'North Holland']"
34f77a86-f56e-4b24-b4a0-4cecd4baa5ff,['cd38d47a3e-035b0b3e18-3e9e2f5cfc-56bb7522d8'],['Bank10'],"['78.108.139.49', '85.114.27.150', '213.87.162.210', '217.165.23.230', '5.18.248.133', '217.66.159.121', '5.18.235.235', '213.87.133.182', '217.165.115.226', '217.66.158.227']","['United Arab Emirates', 'Russia', 'Netherlands']","['Dubai', 'Moscow', 'Amsterdam', 'Saint Petersburg']","['Dubai', 'St.-Petersburg', 'Moscow', 'North Holland']"
5117890b-913b-40a8-b6cb-869f85a306c1,['6413e837d3-987e3415d7-902dcc5844-27c94f86d9'],['Bank2'],"['197.210.53.250', '197.210.47.235', '197.210.47.13', '64.52.83.197', '197.210.53.21', '197.210.227.94', '64.52.83.118', '197.210.226.83', '64.52.83.240', '197.210.64.168', '64.52.83.202', '64.52.83.238', '197.210.70.104', '197.210.47.112', '64.52.83.60', '64.52.83.154', '197.210.65.5', '64.52.83.40', '64.52.83.162', '64.52.83.92', '64.52.83.141', '64.52.83.66', '197.210.47.23', '197.210.227.207', '197.210.226.247', '197.210.65.205', '197.210.85.70', '197.210.227.121', '197.210.47.250', '197.210.65.251', '154.160.27.119', '197.210.227.251', '197.210.47.142', '197.210.226.176', '197.210.65.109', '102.176.94.203', '64.52.83.215', '64.52.83.204', '107.182.237.225', '64.52.83.99', '197.210.64.198', '64.52.83.218', '64.52.83.72', '197.210.65.8', '197.210.53.84', '64.52.83.12', '209.95.50.250', '197.210.227.164', '64.52.83.88', '197.210.64.92', '197.210.47.251', '197.210.64.207', '197.210.52.77', '197.210.47.156', '197.210.47.47', '64.52.83.43', '64.52.83.102', '107.182.237.227', '197.210.71.248', '197.210.65.12', '64.52.83.246', '197.210.53.200', '197.210.226.100', '197.210.227.125', '197.210.65.154', '64.52.83.124', '197.210.227.26', '197.210.64.44', '197.210.52.81', '154.160.25.117', '64.52.83.44', '197.210.47.215', '107.182.226.233', '197.210.47.121', '197.210.227.136', '197.210.47.240', '197.210.226.102', '197.210.71.103', '197.210.47.35', '197.210.47.87', '197.210.64.23', '197.210.64.232', '64.52.83.131', '102.176.94.41', '197.210.227.91', '197.210.47.48', '197.210.227.112', '64.52.83.100', '197.210.64.64', '64.52.83.254', '64.52.83.84', '102.176.94.216', '197.210.53.112', '64.52.83.86', '197.210.64.229', '64.52.83.241', '197.210.227.134', '197.210.227.140', '64.52.83.28', '197.210.226.129', '107.182.237.248', '197.210.47.9', '197.210.64.250', '64.52.83.64', '197.210.64.251', '197.210.85.26', '197.210.64.233', '197.210.227.224', '197.210.226.208', '64.52.83.125', '197.210.65.136', '197.210.64.13', '197.210.53.96', '197.210.226.136', '197.210.28.246', '64.52.83.145', '197.210.65.138', '197.210.64.142', '197.210.65.65', '197.210.226.168', '197.210.64.82', '64.52.83.174', '197.210.227.186', '64.52.83.46', '197.210.227.135', '64.52.83.198', '197.210.53.247', '64.52.83.16', '64.52.83.148', '197.210.226.140', '197.210.47.90']","['Nigeria', 'Ghana', 'United States']","['Accra', 'Alimosho', 'Lagos', 'San Jose', 'Abuja', 'New York City']","['Greater Accra', 'California', 'Lagos', 'FCT', 'New York']"
5ed74c2d-ee31-4d61-b01f-cd6d9b1fbc50,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank2'],"['154.160.19.219', '205.185.223.223', '154.160.7.190', '154.160.18.192', '209.107.214.146', '205.185.223.222', '205.185.223.198', '154.160.10.201', '209.107.214.96', '205.185.223.141', '205.185.223.98', '154.160.6.155', '209.107.214.120', '209.107.214.118', '209.107.214.155', '205.185.223.229', '209.107.214.201', '209.107.214.154', '209.107.214.187', '209.197.30.175', '45.56.172.158', '154.160.6.136', '154.160.23.32', '154.160.6.90', '209.107.214.217', '209.107.214.211', '154.160.3.218', '205.185.223.220', '154.160.21.59', '209.107.214.210', '154.160.18.118', '209.107.214.144', '205.185.223.154', '205.185.223.199', '154.160.1.77', '154.160.22.225', '154.160.23.141', '154.160.22.112', '209.107.214.97', '154.160.0.235', '64.42.178.82', '209.107.214.153', '209.107.214.171', '205.185.223.65', '154.160.0.84', '154.160.26.86', '154.160.1.180', '154.160.9.113', '209.107.214.219', '209.107.214.152', '216.151.180.200', '154.160.27.61', '154.160.18.13', '209.107.214.94', '205.185.223.155', '154.160.1.133', '209.107.214.62', '216.151.180.198']","['Ghana', 'United States']","['Dallas', 'Accra', 'Taifa', 'Kumasi', 'Ashaiman', 'Seattle', 'Aflao', 'New York City']","['Greater Accra', 'Ashanti', 'Texas', 'Volta', 'New York', 'Washington']"
a3de5f78-0679-49a8-b298-2f7bcea6a906,['732dfee5-5945-43cf-af58-6494b6055e60'],['Bank11'],"['213.87.136.221', '213.87.161.129', '114.125.199.255', '213.87.154.247', '213.87.152.102', '213.87.161.75', '213.87.157.147', '213.87.144.234', '213.221.33.15', '213.87.160.200', '213.87.148.3', '213.87.132.246', '213.87.136.135', '213.87.137.33', '213.87.135.132', '213.87.137.56', '213.87.138.83', '193.117.197.99', '213.87.136.71', '125.167.149.239', '213.87.158.201', '213.87.137.113', '213.87.139.162', '213.87.137.136', '213.87.161.226', '213.87.136.73', '213.87.153.111', '114.125.204.157', '213.87.131.60', '213.87.159.85', '213.87.129.243', '213.87.158.130', '217.66.154.203', '213.87.160.13', '95.153.129.162', '213.87.129.77', '213.87.160.41', '213.87.136.33', '213.87.131.6', '213.87.136.183', '213.87.156.153', '213.87.153.233', '213.87.152.202', '213.87.135.82', '213.87.137.13', '36.82.102.16', '213.87.152.198', '213.87.131.121', '213.87.137.227', '213.87.133.140', '213.87.145.191', '213.87.153.48', '109.252.85.62', '213.87.161.180', '213.87.137.12', '213.87.155.226', '182.1.184.170', '213.87.137.240', '182.1.127.13', '213.87.163.36', '213.87.145.153', '213.87.148.151', '213.87.161.254', '213.87.153.130', '213.87.152.125', '213.87.134.188', '185.51.124.62', '36.68.116.147', '213.87.138.198', '213.87.156.128', '213.87.160.104', '85.174.194.41', '114.125.186.251', '213.87.145.107', '213.87.146.54', '213.87.161.105', '213.87.159.133', '213.87.129.28', '213.87.130.93', '57.190.1.30', '213.87.157.156', '213.87.132.123', '103.111.55.98', '213.87.149.157', '213.87.153.237', '213.87.153.250', '213.87.161.10', '213.87.162.57']","['Indonesia', 'Russia', 'United Kingdom', 'Netherlands']","['Pushkino', 'Moscow', 'Krasnodar', 'Jakarta', 'Mataram', 'Teluknaga', 'Surabaya', 'Derby', 'Situbondo', 'Amsterdam', 'Saint Petersburg', 'Salatiga']","['Central Java', 'Moscow', 'Moscow Oblast', 'North Holland', 'Jakarta', 'West Java', 'St.-Petersburg', 'Krasnodar Krai', 'East Java', 'England', 'West Nusa Tenggara']"
a57e8208-9b8e-4baa-b1f3-2a8050834a82,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank2'],"['197.210.226.119', '173.213.90.158', '154.160.10.46', '154.160.18.162', '104.238.37.196', '185.58.226.20', '197.210.45.14', '173.213.90.57', '157.230.92.86', '173.213.90.34', '197.210.227.83', '197.210.55.109', '154.160.0.228', '154.160.26.76', '154.160.25.125', '154.160.24.50', '66.23.202.19', '173.213.90.35', '173.213.90.177', '154.160.1.115', '207.89.22.76', '66.23.202.21', '64.42.178.83', '104.238.37.44', '197.210.227.142', '173.213.90.205', '197.210.54.214', '173.213.90.169', '154.160.22.102', '154.160.5.85', '173.213.90.206', '64.42.178.82', '104.238.37.185', '173.213.90.167', '64.42.178.86', '197.210.54.47', '173.213.90.178', '154.160.24.230', '154.160.20.237', '154.160.26.248', '197.210.45.219', '173.213.90.58', '173.213.90.74', '173.213.90.219', '142.93.71.242', '14.1.28.213', '173.213.90.209', '173.213.90.73', '154.160.18.110', '173.213.90.56', '154.160.16.195', '197.210.55.156', '154.160.2.217', '197.210.226.99', '197.210.54.155', '66.23.202.18', '154.160.25.210', '41.79.5.2', '197.210.227.124', '154.160.27.35', '173.213.90.208', '197.210.58.35', '154.160.5.55', '154.160.1.49', '197.210.226.23', '154.160.18.182', '102.176.94.107', '154.160.7.84', '154.160.27.41', '192.241.167.237', '197.210.227.134', '206.189.193.80', '197.210.55.212', '173.213.90.32', '154.160.20.167', '154.160.6.248', '197.210.226.113', '64.42.178.84', '154.160.6.12', '144.202.53.155', '104.238.37.49', '104.238.37.250']","['United Kingdom', 'Ghana', 'United States', 'Nigeria', 'France']","['Dallas', 'Accra', 'Clifton', 'North Bergen', 'Lagos', 'Los Angeles', 'Tema New Town', 'Secaucus', 'Houston', 'Amanfrom', 'Paris', 'Ashaiman', 'Sefwi Wiawso', 'Elk Grove Village', 'Adenta', 'Slough', 'New York City', 'Atsiaman']","['New Jersey', 'Greater Accra', 'Texas', 'Lagos', 'California', 'Illinois', 'New York', 'Western North', 'England', 'Île-de-France']"
dfb33dfd-fef5-4fd7-8382-4fab34d50966,['b48af28979-116c56e539-9b9e431e93-87a831f69f'],['Bank2'],"['154.160.24.140', '154.160.22.86', '154.160.21.86', '209.107.204.49', '197.210.85.17', '209.107.214.176', '197.210.71.251', '45.56.174.209', '209.107.204.218', '154.160.22.216', '209.107.214.162', '154.160.20.156', '209.107.214.112', '205.185.223.133', '209.107.204.73', '209.107.204.48', '154.160.17.147', '209.107.204.47', '154.160.22.28', '64.42.178.84', '209.107.214.111', '154.160.26.120', '205.185.222.131', '209.107.214.94', '209.107.214.193', '205.185.222.176']","['Nigeria', 'Ghana', 'United States']","['Dallas', 'Accra', 'Lagos', 'Kumasi', 'Ashaiman', 'Amanfrom', 'Seattle', 'Miami', 'New York City']","['Greater Accra', 'Florida', 'Texas', 'Lagos', 'Ashanti', 'New York', 'Washington']"
